id_host_anon,id_listing_anon,room_type,listing_neighborhood,listing_bookings,total_reviews,total_guests,total_interactions,average_booking_time_hrs,booking_rate
a68bf906-614c-4837-8844-7b79c067ab85,daed7d2c-080a-43f6-a189-e7bd3a4d1095,Entire home/apt,Ipanema,9.0,110.0,27.0,339,0.008045267489711934,0.9
02950ae3-7577-4d96-8121-82c966eca6c7,f5ce6e3d-166d-499a-bdf5-3ab93f08c8d8,Entire home/apt,-unknown-,1.0,1.0,2.0,9,0.0,1.0
aa3986bc-6b45-4f17-b902-e3a398fc3a19,28afcd69-cec0-44d8-a3f5-a1c9fffbbec9,Entire home/apt,Copacabana,3.0,48.0,8.0,12,0.0,1.0
9b0bdadf-3c03-4513-9636-54fb0b7d8ddf,f49d085d-c8c0-481f-b5d8-46b134101250,Entire home/apt,Copacabana,1.0,4.0,24.0,37,1.1910069444444444,0.25
257265a8-2ba8-46a7-80bf-cc538635a0c2,8444cfd9-dd47-4f11-a2d0-2d7642739556,Entire home/apt,Lapa,12.0,1350.0,29.0,117,0.008154899691358025,0.8
6b7724ce-b161-498a-bd39-edba945ef065,45d09abd-fc9e-4c30-b1e4-361d1b196d15,Private room,Copacabana,3.0,6.0,5.0,30,7.71604938271605e-06,1.0
12e4b694-2dc0-42bb-bca4-a813d2fef9dd,a9f9b72c-2a9e-41d8-8079-10b808298cd5,Entire home/apt,Flamengo,0.0,12.0,10.0,26,,0.0
3cd9937f-ebcc-4b00-8334-77d36b30e164,d4d7f4c2-a129-4908-99f1-ef1b164c288f,Entire home/apt,Copacabana,9.0,580.0,16.0,101,2.5720164609053496e-06,0.9
ab4fd8de-4aa7-4047-8bd6-b2213aea351c,b4f942d0-20f1-4845-9677-cfb4e12a5d78,Entire home/apt,Copacabana,0.0,0.0,1.0,6,,0.0
283b9cd8-1644-49b5-b14a-78b38492b266,dacc23ed-cd62-49a1-a956-2c131e2c0a88,Entire home/apt,Botafogo,0.0,24.0,20.0,14,,0.0
5b889f62-d64b-48ad-bb28-92e82308bd1a,b60e4610-0db5-4619-9b74-cc9a38db1a3e,Entire home/apt,-unknown-,0.0,0.0,24.0,11,,0.0
08db0ebf-0f5b-4c03-b10c-456a3e3e43ea,b64cdd55-077b-4e99-938f-70657c967574,Entire home/apt,Barra da Tijuca,0.0,3.0,4.0,7,,0.0
038678d5-da72-4349-970c-9c95c8258b36,6a123b94-439a-4227-8816-e4d946d3d914,Entire home/apt,Copacabana,1.0,0.0,2.0,23,2.9671180555555554,1.0
b66e73dd-0541-47db-aa50-0b861b513865,acdbaeb4-979b-448f-9dc4-597587f344b7,Entire home/apt,Copacabana,1.0,0.0,7.0,16,0.10493055555555555,0.3333333333333333
dfe70119-e9d3-445d-95f5-d69754bec411,92f077ff-889e-42e8-878a-9ee30977d200,Entire home/apt,Ipanema,0.0,0.0,10.0,6,,0.0
c8710cc7-328d-4a62-bc41-07021739ed53,c3d48ee1-ab40-49a4-9d06-9ea0aaea95fc,Private room,Centro,13.0,210.0,23.0,48,0.10604433760683761,0.9285714285714286
f42e66a7-8691-4ee6-9b43-d977a362d372,96a65565-714a-4d6a-b73b-4a252e54bdb4,Private room,Recreio dos Bandeirantes,1.0,0.0,3.0,11,1.502650462962963,1.0
858ab2a2-50b2-4a25-be69-526ee724f32b,6bc2f350-ccb0-459f-ba35-e8bfeab5620b,Entire home/apt,Barra da Tijuca,0.0,0.0,2.0,1,,0.0
8e696344-2a31-4115-aaba-5b1655624e54,88ed8178-4699-494c-856c-7c484358b96a,Private room,-unknown-,0.0,15.0,3.0,12,,0.0
13aa1391-9edb-455b-81f6-8bb76b01ecdf,39dc55b2-fda8-45f7-b59e-cf73286d4f8a,Entire home/apt,Leblon,3.0,48.0,10.0,81,0.28321759259259255,0.75
4778b5a8-88da-46c5-bf81-0a6fe46dff13,593cb8b1-eb03-4bd6-a352-8d20352e50dd,Entire home/apt,Copacabana,0.0,0.0,19.0,44,,0.0
